Order_ID,Date,Month,Quarter,Year,Region,State,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Sales_Amount,Discount_Percent,Discount_Amount,Net_Sales,Cost_Price,Profit,Profit_Margin_Percent,Customer_Segment,Payment_Mode,Order_Status
ORD-1001,23-Nov-2024,Nov,Q4,2024,North,Delhi,Books,Textbook,RD Sharma Mathematics,2,899,1798,0,0.0,1798.0,1187.76,610.24,33.94,New,UPI,Delivered
ORD-1002,16-Jan-2024,Jan,Q1,2024,North,Delhi,Clothing,Jacket,Red Tape Puffer Jacket,1,3999,3999,20,799.8,3199.2,2021.67,1177.53,36.81,Premium,Credit Card,Delivered
ORD-1003,28-Oct-2024,Oct,Q4,2024,East,West Bengal,Clothing,Kurta,Biba Printed Kurta,3,2199,6597,0,0.0,6597.0,4175.37,2421.63,36.71,Premium,UPI,Delivered
ORD-1004,02-Jul-2024,Jul,Q3,2024,East,Bihar,Books,Novel,Silent Patient,5,399,1995,0,0.0,1995.0,1353.38,641.62,32.16,Regular,Credit Card,Delivered
ORD-1005,12-Nov-2024,Nov,Q4,2024,East,Bihar,Clothing,T-Shirt,Puma Men T-Shirt,2,999,1998,5,99.9,1898.1,1289.02,609.08,32.09,New,Net Banking,Delivered
ORD-1006,20-Aug-2024,Aug,Q3,2024,East,West Bengal,Books,Self-Help,The Psychology of Money,3,399,1197,0,0.0,1197.0,785.89,411.11,34.35,Regular,Debit Card,Delivered
ORD-1007,13-Jul-2024,Jul,Q3,2024,East,Bihar,Sports,Football,Adidas Tango,1,1499,1499,5,74.95,1424.05,953.13,470.92,33.07,Premium,UPI,Delivered
ORD-1008,17-Oct-2024,Oct,Q4,2024,East,West Bengal,Home & Kitchen,Lamp,IKEA FADO Table Lamp,2,1499,2998,5,149.9,2848.1,1789.68,1058.42,37.16,Premium,Credit Card,Delivered
ORD-1009,07-Aug-2024,Aug,Q3,2024,West,Gujarat,Clothing,Jeans,Spykar Super Skinny,4,2299,9196,0,0.0,9196.0,6118.53,3077.47,33.47,New,UPI,Delivered
ORD-1010,14-Dec-2024,Dec,Q4,2024,West,Rajasthan,Electronics,Earphones,OnePlus Bullets Z2,5,1999,9995,15,1499.25,8495.75,5537.08,2958.67,34.83,New,Net Banking,Delivered
ORD-1011,28-Feb-2024,Feb,Q1,2024,East,Bihar,Books,Novel,It Ends With Us,4,349,1396,0,0.0,1396.0,903.52,492.48,35.28,New,Net Banking,Delivered
ORD-1012,13-Sep-2024,Sep,Q3,2024,South,Telangana,Electronics,Tablet,Realme Pad 2,5,19999,99995,5,4999.75,94995.25,59768.2,35227.05,37.08,Premium,Credit Card,Delivered
